"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Brazil";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"16831";""
"Brazil";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"17182";""
"Brazil";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"19020";""
"Brazil";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"19335";""
"Brazil";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"21081";""
"Brazil";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"16974";""
"Brazil";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"17407";""
"Brazil";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"22866";""
"Brazil";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"17379";""
"Brazil";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"19372";""
"Brazil";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"21188";""
"Brazil";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"20232";""
"Brazil";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"23741";""
"Brazil";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"27973";""
"Brazil";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"29207";""
"Brazil";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"28594";""
"Brazil";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"25353";""
"Brazil";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"27957";""
"Brazil";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"25477";""
"Brazil";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"26566";""
"Brazil";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"26361";""
"Brazil";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"28617";""
"Bulgaria";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"5103";""
"Bulgaria";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"5641";""
"Bulgaria";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"5885";""
"Bulgaria";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"4989";""
"Bulgaria";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"5434";""
"Bulgaria";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"6158";""
"Bulgaria";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"7219";""
"Bulgaria";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"7113";""
"Bulgaria";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"7096";""
"Bulgaria";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"6043";""
"Bulgaria";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"5289";""
"Bulgaria";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"5049";""
"Bulgaria";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"5215";""
"Bulgaria";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"5341";""
"Bulgaria";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"5259";""
"Bulgaria";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"5583";""
"Bulgaria";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"5526";""
"Bulgaria";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"5888";""
"Bulgaria";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"6996";""
"Bulgaria";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"7973";""
"Bulgaria";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"6944";""
"Bulgaria";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"8900";""
"Bulgaria";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"2215";""
"Bulgaria";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"4430";""
"Bulgaria";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"8169";""
"Cameroon";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"1956";""
"Cameroon";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"1880";""
"Cameroon";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"1794";""
"Cameroon";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"1710";""
"Cameroon";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"1711";""
"Cameroon";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"1420";""
"Cameroon";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"1663";""
