"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"China";"Natural gas (including LNG) - imports";"2007";"Terajoules";"149785.2";""
"China";"Natural gas (including LNG) - imports";"2006";"Terajoules";"35397";""
"China";"Natural gas (including LNG) - imports";"2005";"Terajoules";"0";""
"China";"Natural gas (including LNG) - imports";"2004";"Terajoules";"0";""
"China";"Natural gas (including LNG) - imports";"2003";"Terajoules";"0";""
"China";"Natural gas (including LNG) - imports";"2002";"Terajoules";"0";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2014";"Terajoules";"94480";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2013";"Terajoules";"96693";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2012";"Terajoules";"99313";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2011";"Terajoules";"95030";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2010";"Terajoules";"119324";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2009";"Terajoules";"96017";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2008";"Terajoules";"98866";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2007";"Terajoules";"85466";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2006";"Terajoules";"91483";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2005";"Terajoules";"83389";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2004";"Terajoules";"83197";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2003";"Terajoules";"57590";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2002";"Terajoules";"89560";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2001";"Terajoules";"94271";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"2000";"Terajoules";"93409";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"1999";"Terajoules";"103327";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"1998";"Terajoules";"93703";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"1997";"Terajoules";"99881";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"1996";"Terajoules";"63927";""
"China, Hong Kong SAR";"Natural gas (including LNG) - imports";"1995";"Terajoules";"1086";""
"China, Macao SAR";"Natural gas (including LNG) - imports";"2014";"Terajoules";"2278";""
"China, Macao SAR";"Natural gas (including LNG) - imports";"2013";"Terajoules";"14";""
"China, Macao SAR";"Natural gas (including LNG) - imports";"2012";"Terajoules";"0";""
"China, Macao SAR";"Natural gas (including LNG) - imports";"2011";"Terajoules";"2870";""
"China, Macao SAR";"Natural gas (including LNG) - imports";"2010";"Terajoules";"6029";""
"China, Macao SAR";"Natural gas (including LNG) - imports";"2009";"Terajoules";"3643";""
"China, Macao SAR";"Natural gas (including LNG) - imports";"2008";"Terajoules";"3221";""
"Croatia";"Natural gas (including LNG) - imports";"2014";"Terajoules";"43542";""
"Croatia";"Natural gas (including LNG) - imports";"2013";"Terajoules";"47993";""
