"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"China";"Natural gas (including LNG) - exports";"2006";"Terajoules";"107979.5";""
"China";"Natural gas (including LNG) - exports";"2005";"Terajoules";"110625";""
"China";"Natural gas (including LNG) - exports";"2004";"Terajoules";"90914";""
"China";"Natural gas (including LNG) - exports";"2003";"Terajoules";"69788";""
"China";"Natural gas (including LNG) - exports";"2002";"Terajoules";"119344";""
"China";"Natural gas (including LNG) - exports";"2001";"Terajoules";"94210";""
"China";"Natural gas (including LNG) - exports";"2000";"Terajoules";"93348";""
"China";"Natural gas (including LNG) - exports";"1999";"Terajoules";"103261";""
"China";"Natural gas (including LNG) - exports";"1998";"Terajoules";"93643";""
"China";"Natural gas (including LNG) - exports";"1997";"Terajoules";"99817";""
"China";"Natural gas (including LNG) - exports";"1996";"Terajoules";"63927";""
"China";"Natural gas (including LNG) - exports";"1995";"Terajoules";"1008";""
"China";"Natural gas (including LNG) - exports";"1994";"Terajoules";"0";""
"China";"Natural gas (including LNG) - exports";"1993";"Terajoules";"0";""
"Colombia";"Natural gas (including LNG) - exports";"2014";"Terajoules";"35810";""
"Colombia";"Natural gas (including LNG) - exports";"2013";"Terajoules";"51492";""
"Colombia";"Natural gas (including LNG) - exports";"2012";"Terajoules";"67045";""
"Colombia";"Natural gas (including LNG) - exports";"2011";"Terajoules";"73428";""
"Colombia";"Natural gas (including LNG) - exports";"2010";"Terajoules";"55616";""
"Colombia";"Natural gas (including LNG) - exports";"2009";"Terajoules";"64222";""
"Colombia";"Natural gas (including LNG) - exports";"2008";"Terajoules";"21";""
"Colombia";"Natural gas (including LNG) - exports";"2007";"Terajoules";"21";""
"Colombia";"Natural gas (including LNG) - exports";"2006";"Terajoules";"0";""
"Colombia";"Natural gas (including LNG) - exports";"2005";"Terajoules";"0";""
"Colombia";"Natural gas (including LNG) - exports";"2004";"Terajoules";"0";""
"Croatia";"Natural gas (including LNG) - exports";"2014";"Terajoules";"16681";""
"Croatia";"Natural gas (including LNG) - exports";"2013";"Terajoules";"14208";""
"Croatia";"Natural gas (including LNG) - exports";"2012";"Terajoules";"9701";""
"Croatia";"Natural gas (including LNG) - exports";"2011";"Terajoules";"9769";""
"Croatia";"Natural gas (including LNG) - exports";"2010";"Terajoules";"18288";""
"Croatia";"Natural gas (including LNG) - exports";"2009";"Terajoules";"30407";""
"Croatia";"Natural gas (including LNG) - exports";"2008";"Terajoules";"26027";""
"Croatia";"Natural gas (including LNG) - exports";"2007";"Terajoules";"28565";""
"Croatia";"Natural gas (including LNG) - exports";"2006";"Terajoules";"34033";""
"Croatia";"Natural gas (including LNG) - exports";"2005";"Terajoules";"16971";""
"Croatia";"Natural gas (including LNG) - exports";"2004";"Terajoules";"13209";""
"Croatia";"Natural gas (including LNG) - exports";"2003";"Terajoules";"12996";""
"Croatia";"Natural gas (including LNG) - exports";"2002";"Terajoules";"13764";""
"Croatia";"Natural gas (including LNG) - exports";"2001";"Terajoules";"9329";""
"Croatia";"Natural gas (including LNG) - exports";"2000";"Terajoules";"0";""
"Croatia";"Natural gas (including LNG) - exports";"1999";"Terajoules";"0";""
"Croatia";"Natural gas (including LNG) - exports";"1998";"Terajoules";"0";""
"Czechia";"Natural gas (including LNG) - exports";"2014";"Terajoules";"45";""
"Czechia";"Natural gas (including LNG) - exports";"2013";"Terajoules";"310";""
"Czechia";"Natural gas (including LNG) - exports";"2012";"Terajoules";"284";""
"Czechia";"Natural gas (including LNG) - exports";"2011";"Terajoules";"6378";""
"Czechia";"Natural gas (including LNG) - exports";"2010";"Terajoules";"6063";""
"Czechia";"Natural gas (including LNG) - exports";"2009";"Terajoules";"1067";""
"Czechia";"Natural gas (including LNG) - exports";"2008";"Terajoules";"874";""
"Czechia";"Natural gas (including LNG) - exports";"2007";"Terajoules";"3251";""
"Czechia";"Natural gas (including LNG) - exports";"2006";"Terajoules";"3198";""
"Czechia";"Natural gas (including LNG) - exports";"2005";"Terajoules";"3220";""
"Czechia";"Natural gas (including LNG) - exports";"2004";"Terajoules";"3329";""
"Czechia";"Natural gas (including LNG) - exports";"2003";"Terajoules";"1928";""
"Czechia";"Natural gas (including LNG) - exports";"2002";"Terajoules";"38";""
"Czechia";"Natural gas (including LNG) - exports";"2000";"Terajoules";"38";""
"Czechia";"Natural gas (including LNG) - exports";"1998";"Terajoules";"38";""
"Czechia";"Natural gas (including LNG) - exports";"1997";"Terajoules";"38";""
"Czechia";"Natural gas (including LNG) - exports";"1996";"Terajoules";"113";""
"Czechia";"Natural gas (including LNG) - exports";"1995";"Terajoules";"37";""
"Czechia";"Natural gas (including LNG) - exports";"1994";"Terajoules";"58";""
"Czechia";"Natural gas (including LNG) - exports";"1993";"Terajoules";"160";""
"Czechia";"Natural gas (including LNG) - exports";"1992";"Terajoules";"138";""
"Czechoslovakia (former)";"Natural gas (including LNG) - exports";"1991";"Terajoules";"599";""
"Czechoslovakia (former)";"Natural gas (including LNG) - exports";"1990";"Terajoules";"24576";""
"Denmark";"Natural gas (including LNG) - exports";"2014";"Terajoules";"87155";""
"Denmark";"Natural gas (including LNG) - exports";"2013";"Terajoules";"91820";""
"Denmark";"Natural gas (including LNG) - exports";"2012";"Terajoules";"124354";""
"Denmark";"Natural gas (including LNG) - exports";"2011";"Terajoules";"130057";""
