LOCATION,MEASURE,TIME,Value
IRL,AGRWTH,1995,1.543492
IRL,AGRWTH,1996,-0.5181041
IRL,AGRWTH,1997,0.3133283
IRL,AGRWTH,1998,2.697181
IRL,AGRWTH,1999,1.877487
IRL,AGRWTH,2000,7.473212
IRL,AGRWTH,2001,1.673449
IRL,AGRWTH,2002,-1.139359
IRL,AGRWTH,2003,-8.091332
IRL,AGRWTH,2004,-2.407132
IRL,AGRWTH,2005,-0.06713607
IRL,AGRWTH,2006,0.3765452
IRL,AGRWTH,2007,-2.284015
IRL,AGRWTH,2008,-1.290173
IRL,AGRWTH,2009,0.6887978
IRL,AGRWTH,2010,0.09343611
IRL,AGRWTH,2011,0.5584264
IRL,AGRWTH,2012,1.806879
IRL,AGRWTH,2013,-0.36636
IRL,AGRWTH,2014,-1.307403
IRL,AGRWTH,2015,5.423083
IRL,AGRWTH,2016,-0.7146784
IRL,IDX2010,1968,13.57491
IRL,IDX2010,1969,14.54787
IRL,IDX2010,1970,15.31848
IRL,IDX2010,1971,16.14879
IRL,IDX2010,1972,17.82724
IRL,IDX2010,1973,20.96939
IRL,IDX2010,1974,23.80609
IRL,IDX2010,1975,29.61862
IRL,IDX2010,1976,35.04976
IRL,IDX2010,1977,41.27102
IRL,IDX2010,1978,45.00805
IRL,IDX2010,1979,50.33954
IRL,IDX2010,1980,55.82764
IRL,IDX2010,1981,64.72532
IRL,IDX2010,1982,72.37022
IRL,IDX2010,1983,77.29597
IRL,IDX2010,1984,82.53493
IRL,IDX2010,1985,85.41066
IRL,IDX2010,1986,84.35718
IRL,IDX2010,1987,85.78081
IRL,IDX2010,1988,89.29717
IRL,IDX2010,1989,93.54671
IRL,IDX2010,1990,92.04478
IRL,IDX2010,1991,92.84201
IRL,IDX2010,1992,94.35817
IRL,IDX2010,1993,98.70736
IRL,IDX2010,1994,99.81068
IRL,IDX2010,1995,101.3512
IRL,IDX2010,1996,100.8261
IRL,IDX2010,1997,101.1421
IRL,IDX2010,1998,103.87
IRL,IDX2010,1999,105.8202
IRL,IDX2010,2000,113.7284
IRL,IDX2010,2001,115.6315
IRL,IDX2010,2002,114.3141
IRL,IDX2010,2003,105.0645
