LOCATION,SUBJECT,TIME,Value
CZE,MFG,2003,74.58334
CZE,MFG,2004,84.15
CZE,MFG,2005,88.49167
CZE,MFG,2006,96.86667
CZE,MFG,2007,108.8583
CZE,MFG,2008,107.275
CZE,MFG,2009,90.9
CZE,MFG,2010,100
CZE,MFG,2011,107.5417
CZE,MFG,2012,106.8
CZE,MFG,2013,107.6
CZE,MFG,2014,114.775
CZE,MFG,2015,121.6833
CZE,MFG,2016,126.1833
CZE,TOT,1990,83.42872
CZE,TOT,1991,65.29994
CZE,TOT,1992,59.87006
CZE,TOT,1993,56.82135
CZE,TOT,1994,58.1885
CZE,TOT,1995,63.17128
CZE,TOT,1996,64.12306
CZE,TOT,1997,67.17025
CZE,TOT,1998,68.3639
CZE,TOT,1999,66.03979
CZE,TOT,2000,69.58991
CZE,TOT,2001,74.91856
CZE,TOT,2002,76.33008
CZE,TOT,2003,79.20321
CZE,TOT,2004,86.87046
CZE,TOT,2005,90.65397
CZE,TOT,2006,98.58849
CZE,TOT,2007,108.9952
CZE,TOT,2008,106.3643
CZE,TOT,2009,92.46638
CZE,TOT,2010,100
CZE,TOT,2011,105.9384
CZE,TOT,2012,104.9612
CZE,TOT,2013,105.2117
CZE,TOT,2014,110.4067
CZE,TOT,2015,115.7438
CZE,TOT,2016,118.3747
DNK,CONSTR,1995,101.2352
DNK,CONSTR,1996,105.7026
DNK,CONSTR,1997,104.2135
DNK,CONSTR,1998,113.0183
DNK,CONSTR,1999,120.0445
DNK,CONSTR,2000,99.25
DNK,CONSTR,2001,104.225
DNK,CONSTR,2002,102.125
DNK,CONSTR,2003,100.475
DNK,CONSTR,2004,105.65
DNK,CONSTR,2005,111.1
DNK,CONSTR,2006,117.775
DNK,CONSTR,2007,120.875
DNK,CONSTR,2008,120.95
DNK,CONSTR,2009,106.875
DNK,CONSTR,2010,100
DNK,CONSTR,2011,103.225
DNK,CONSTR,2012,104.3
DNK,CONSTR,2013,103.5
DNK,CONSTR,2014,107.975
DNK,CONSTR,2015,112.7
DNK,CONSTR,2016,119.125
DNK,MFG,1974,53.77402
DNK,MFG,1975,50.88784
DNK,MFG,1976,56.25512
DNK,MFG,1977,56.86273
DNK,MFG,1978,58.22987
DNK,MFG,1979,60.50843
DNK,MFG,1980,60.7616
DNK,MFG,1981,60.94742
DNK,MFG,1982,62.52479
DNK,MFG,1983,64.22964
DNK,MFG,1984,69.91084
DNK,MFG,1985,75.09957
DNK,MFG,1986,79.86584
DNK,MFG,1987,75.91867
DNK,MFG,1988,80.035
DNK,MFG,1989,80.39913
DNK,MFG,1990,81.04991
DNK,MFG,1991,81.19407
DNK,MFG,1992,83.74052
DNK,MFG,1993,80.62245
DNK,MFG,1994,88.90842
DNK,MFG,1995,92.42563
DNK,MFG,1996,93.69136
DNK,MFG,1997,98.3243
DNK,MFG,1998,101.2024
DNK,MFG,1999,101.4415
DNK,MFG,2000,108.4993
DNK,MFG,2001,111.3657
DNK,MFG,2002,112.049
DNK,MFG,2003,110.2075
DNK,MFG,2004,108.141
DNK,MFG,2005,111.674
DNK,MFG,2006,117.5985
DNK,MFG,2007,118.3151
DNK,MFG,2008,117.4235
DNK,MFG,2009,97.08358
DNK,MFG,2010,100
DNK,MFG,2011,104.7079
DNK,MFG,2012,106.7494
DNK,MFG,2013,109.4659
DNK,MFG,2014,112.9323
DNK,MFG,2015,115.732
DNK,MFG,2016,120.9066
DNK,TOT,1974,55.72561
DNK,TOT,1975,52.73468
DNK,TOT,1976,58.29675
DNK,TOT,1977,58.92642
DNK,TOT,1978,60.34317
DNK,TOT,1979,62.70442
DNK,TOT,1980,62.96679
DNK,TOT,1981,62.96679
DNK,TOT,1982,64.48848
DNK,TOT,1983,66.79726
DNK,TOT,1984,73.9335
DNK,TOT,1985,76.92442
DNK,TOT,1986,81.82484
DNK,TOT,1987,77.75935
DNK,TOT,1988,81.979
DNK,TOT,1989,82.39647
DNK,TOT,1990,83.00725
DNK,TOT,1991,83.09891
DNK,TOT,1992,85.6712
DNK,TOT,1993,82.46146
DNK,TOT,1994,90.90159
DNK,TOT,1995,94.49379
DNK,TOT,1996,95.77618
DNK,TOT,1997,100.395
DNK,TOT,1998,103.3522
DNK,TOT,1999,103.588
DNK,TOT,2000,110.7158
DNK,TOT,2001,112.8239
DNK,TOT,2002,114.3071
DNK,TOT,2003,114.2738
DNK,TOT,2004,113.1156
DNK,TOT,2005,116.2903
DNK,TOT,2006,120.09
DNK,TOT,2007,117.0736
DNK,TOT,2008,115.1654
DNK,TOT,2009,98.06683
DNK,TOT,2010,100
DNK,TOT,2011,101.7665
DNK,TOT,2012,101.9415
DNK,TOT,2013,102.3915
DNK,TOT,2014,103.2497
DNK,TOT,2015,104.4746
DNK,TOT,2016,108.191
FIN,CONSTR,1995,46.88724
FIN,CONSTR,1996,50.90424
FIN,CONSTR,1997,57.29644
FIN,CONSTR,1998,65.13042
FIN,CONSTR,1999,67.39729
FIN,CONSTR,2000,71.41428
FIN,CONSTR,2001,71.50596
FIN,CONSTR,2002,72.61439
FIN,CONSTR,2003,75.87299
FIN,CONSTR,2004,79.6233
FIN,CONSTR,2005,82.91525
FIN,CONSTR,2006,88.75739
FIN,CONSTR,2007,98.3582
FIN,CONSTR,2008,102.4252
FIN,CONSTR,2009,89.41579
FIN,CONSTR,2010,100
FIN,CONSTR,2011,107.9673
FIN,CONSTR,2012,106.0005
FIN,CONSTR,2013,102.7919
FIN,CONSTR,2014,103.4086
FIN,CONSTR,2015,109.9175
FIN,CONSTR,2016,116.7597
FIN,MFG,1959,12.54513
FIN,MFG,1960,14.22471
FIN,MFG,1961,15.74438
FIN,MFG,1962,16.68921
FIN,MFG,1963,17.27868
FIN,MFG,1964,18.47958
FIN,MFG,1965,19.8038
FIN,MFG,1966,20.66711
FIN,MFG,1967,21.43531
FIN,MFG,1968,22.65502
FIN,MFG,1969,25.74139
FIN,MFG,1970,28.56021
FIN,MFG,1971,29.03759
FIN,MFG,1972,32.50757
FIN,MFG,1973,34.65463
FIN,MFG,1974,36.43356
FIN,MFG,1975,34.79476
FIN,MFG,1976,34.90751
FIN,MFG,1977,34.61655
FIN,MFG,1978,36.28955
FIN,MFG,1979,40.33748
FIN,MFG,1980,43.77805
FIN,MFG,1981,44.98552
FIN,MFG,1982,45.38558
FIN,MFG,1983,46.81854
FIN,MFG,1984,48.90979
FIN,MFG,1985,50.63007
FIN,MFG,1986,51.46655
FIN,MFG,1987,54.09368
FIN,MFG,1988,55.99783
FIN,MFG,1989,58.01126
FIN,MFG,1990,54.845
FIN,MFG,1991,49.37917
FIN,MFG,1992,49.98583
FIN,MFG,1993,52.74583
FIN,MFG,1994,58.88917
FIN,MFG,1995,66.875
FIN,MFG,1996,68.54166
FIN,MFG,1997,74.06667
FIN,MFG,1998,79.68333
FIN,MFG,1999,83.55
FIN,MFG,2000,92.45
FIN,MFG,2001,92.49167
FIN,MFG,2002,94.375
FIN,MFG,2003,94.64167
FIN,MFG,2004,100.9333
FIN,MFG,2005,102.0083
FIN,MFG,2006,110.8
FIN,MFG,2007,117.3083
FIN,MFG,2008,119.5583
FIN,MFG,2009,95.24167
FIN,MFG,2010,100
FIN,MFG,2011,103
FIN,MFG,2012,101.1417
FIN,MFG,2013,97.30833
FIN,MFG,2014,95.88333
FIN,MFG,2015,94.98333
FIN,MFG,2016,97.45
FIN,TOT,1955,10.89339
FIN,TOT,1956,11.17942
FIN,TOT,1957,11.49813
FIN,TOT,1958,11.06501
FIN,TOT,1959,12.08652
FIN,TOT,1960,13.64744
FIN,TOT,1961,15.17915
FIN,TOT,1962,16.18518
FIN,TOT,1963,16.79847
FIN,TOT,1964,17.91024
FIN,TOT,1965,19.19191
